cycle,test_group,test_type,prosthesis,pair,metric,pvalue,pvalue_holm,pvalue_bonferroni,cohens_d
cycle,g3,wilcoxon,none,(Same)-(Contra),total_var,1.430511474609375e-06,4.291534423828125e-06,4.291534423828125e-06,0.8651725574541351
stance,g1,wilcoxon,Mech,(A-A)-(S-S),angle_var,0.0009765625,0.001953125,0.005859375,-2.1936772727519402
stance,g1,wilcoxon,Mech,(A-A)-(S-S),hangle,0.04248046875,0.04248046875,0.2548828125,-1.1309886185596318
stance,g1,wilcoxon,Mech,(A-A)-(S-S),htoe,0.00244140625,0.0048828125,0.0146484375,1.0684769173474968
stance,g1,wilcoxon,Mech,(A-A)-(S-S),inter_dependence,0.00048828125,0.0009765625,0.0029296875,2.19350282320527
stance,g1,wilcoxon,Mech,(A-A)-(S-S),inter_dependence_prop,0.00048828125,0.0009765625,0.0029296875,2.3460072268815995
stance,g1,wilcoxon,Mech,(A-A)-(S-S),mi,0.00048828125,0.0009765625,0.0029296875,2.19350282320527
stance,g1,wilcoxon,Mech,(A-A)-(S-S),toe_var,0.5185546875,0.5185546875,1.0,-0.14829913635706038
stance,g1,wilcoxon,Mech,(A-A)-(S-S),total_var,0.00146484375,0.0029296875,0.0087890625,-1.0692863757610558
stance,g1,mannwhitneyu,Mech-none,(A-A)-(Same),angle_var,2.148485851840218e-06,1.2890915111041308e-05,1.2890915111041308e-05,-5.4615880799234136
stance,g1,mannwhitneyu,Mech-none,(A-A)-(Same),hangle,3.0584343043925483e-06,1.5292171521962742e-05,1.8350605826355288e-05,-3.204922881512151
stance,g1,mannwhitneyu,Mech-none,(A-A)-(Same),htoe,2.148485851840218e-06,1.2890915111041308e-05,1.2890915111041308e-05,7.127600059249909
stance,g1,mannwhitneyu,Mech-none,(A-A)-(Same),inter_dependence,2.148485851840218e-06,1.2890915111041308e-05,1.2890915111041308e-05,5.407196560223931
stance,g1,mannwhitneyu,Mech-none,(A-A)-(Same),inter_dependence_prop,2.148485851840218e-06,1.2890915111041308e-05,1.2890915111041308e-05,4.940014736012499
stance,g1,mannwhitneyu,Mech-none,(A-A)-(Same),mi,2.148485851840218e-06,1.2890915111041308e-05,1.2890915111041308e-05,5.407196560223931
stance,g1,mannwhitneyu,Mech-none,(A-A)-(Same),toe_var,2.148485851840218e-06,1.2890915111041308e-05,1.2890915111041308e-05,3.772759502989683
